Serial No,Song Name,Artist Name,Camelot,BPM,Duration,Popularity,energy,Danceability,Happiness,Accousticness,Instrumentalness,Liveness,Speechiness,Loudness,Category,Language
280,Govardhana giridhara,"Kavya Ajit, Kamala Subramaniam",4A,145,3:44,34,55,47,38,83,0,49,11,-7,Vocal(Sanskrit),
281,Chandra Chooda - Keerthanam,"Purandara Daasaru, Anoop Sankar",7A,90,5:42,30,68,61,59,7,0,9,8,-8,Vocal(Kannada),
282,Alai Payuthey,"Kalyani Menon, Harini, Neyveli Ramalakshmi",11A,82,3:42,35,54,59,46,54,0,16,10,-12,Vocal(Tamil),
283,Harivarasanam,Kalabhavan Mani,11B,129,5:34,28,58,70,71,45,0,12,3,-7,Vocal(Malayalam),
284,Ganesha Panchratnam,"G. Gayathri Devi, Saindhavi, PRIYA, R. Shruti",6B,95,9:00,44,58,46,51,60,0,12,9,-9,Vocal(Sanskrit),
285,Phir Chhidi Raat,Bazm-E-Khas,4A,162,9:57,23,31,29,46,90,6,10,3,-12,Vocal(Urdu),
286,Bihag,The Anirudh Varma Collective,11B,144,5:54,31,52,45,21,58,0,10,3,-9,Vocal(Hindi),
287,Dil-E-Nadaan,Kavita Seth,9B,92,6:22,38,53,37,47,57,0,28,4,-8,Vocal(Urdu),
288,Ae Re Sakhi,Namita Choudhary,10B,146,3:42,47,30,59,29,91,0,9,5,-11,Vocal(Hindi),
289,Ek Nazar,Kavita Seth,8B,100,7:25,30,51,61,39,2,0,10,3,-8,Vocal(Hindi),
290,Mora Saiyyan,Shafqat Amanat Ali,12B,81,1:56,40,30,31,44,88,0,12,3,-9,Vocal(Hindi),
291,Lat Ulajhi,Anjali Gaikwad,6B,140,3:50,20,67,63,25,46,2,14,3,-7,Vocal(Hindi),
292,Naina More,Sniti Mishra,3A,124,4:58,21,49,68,17,34,2,13,3,-11,Vocal(Hindi),
293,Ithlati,Javed Ali,4A,135,6:27,28,70,70,52,79,0,18,9,-7,Vocal(Urdu),
294,Ka Karoon Sajani,Ajoy Chakrabarty,6A,128,7:56,28,32,38,39,76,0,21,4,-16,Vocal(Hindi),
295,Naina More Taras Rahe,Bade Ghulam Ali Khan,6B,79,3:21,11,24,44,73,99,75,12,5,-20,Vocal(Hindi),
296,Boondan Boondan (feat. Ankita Joshi),Maati Baani,12B,118,4:33,35,78,65,55,52,0,8,5,-7,Vocal(Hindi),
297,Sindoori,Maati Baani,10B,144,4:33,29,59,58,34,65,1,29,5,-10,Vocal(Hindi),
298,Jogi,Swastik The Band,7A,80,6:17,44,65,55,35,28,0,7,6,-6,Vocal(Hindi),
299,Baras,Shadow and Light,7A,184,4:58,22,53,47,38,76,9,9,3,-11,Vocal(Telugu),
300,Baawariya (feat. Shankar Tucker),Maati Baani,8A,90,2:56,41,46,61,44,79,14,7,3,-9,Vocal(Hindi),
301,Tilak Kamod,The Anirudh Varma Collective,2B,140,7:36,30,57,50,25,71,0,19,3,-9,Vocal(Hindi),
302,Saathi Suno,Srabasti Acharya,2B,198,2:16,15,44,37,71,41,0,21,17,-11,Vocal(Hindi),
303,Baju Band,Sniti Mishra,4A,150,4:18,25,51,47,41,68,1,25,3,-6,Vocal(Hindi),
304,Naina Morey - Redefined,Umashankar Kathak,8B,76,3:23,27,54,26,50,43,0,6,8,-11,Vocal(Hindi),
305,Krishna Murari,Hrishikesh Datar,4A,136,3:45,25,49,41,35,38,0,12,5,-8,Vocal(Hindi),
306,Mohan Bin Radha,Priyani Vani Panditt,8B,95,3:20,23,62,54,19,71,0,13,4,,Vocal(Hindi),
307,Saawan Ki Ruth,Pragya Dasgupta,11B,124,3:47,18,36,37,33,80,0,11,5,-11,Vocal(Hindi),
308,Sab Ruk Sa Gaya,Trishita Recs,7A,80,3:24,17,35,49,13,91,0,15,3,-12,Vocal(Hindi),
309,Kaahe Ko Sataaye,Aabhas Joshi,4B,77,3:52,18,10,45,38,90,0,39,4,-17,Vocal(Hindi),
310,Rang Na,Pratibha Baghel,10B,118,4:14,21,45,68,29,80,0,11,3,-9,Vocal(Hindi),
311,Aeri Sakhi (An Eternal Poem of Love),Ronkini Gupta,8B,120,3:09,24,44,58,27,92,0,16,5,-11,Vocal(Hindi),
312,Runak Jhunak,Kanika,8B,131,3:11,29,50,47,37,38,0,12,5,-7,Vocal(Hindi),
313,Yaad Piya Ki Aaye,Ankita Joshi,10B,122,4:30,19,49,56,21,22,0,11,3,-10,Vocal(Hindi),
314,Rang Rasiya - Film Version,Shilpa Rao,6A,128,8:55,27,74,48,35,48,0,12,4,-5,Vocal(Hindi),
315,Voh Tere Mere Ishq Ka,Sunidhi Chauhan,9B,92,5:13,46,59,45,57,76,0,19,4,-7,Vocal(Hindi),
316,Na Tum Saamne,Joell,2B,120,3:00,26,27,58,48,97,0,11,3,-12,Vocal(Hindi),
317,Manmohiya,Maati Baani,12A,144,3:53,31,54,58,27,76,6,10,3,-8,Vocal(Hindi),
318,Saawan,Maati Baani,9B,132,3:29,16,50,56,22,86,0,12,3,-8,Vocal(Hindi),
319,Tum,Shadow and Light,4A,96,3:43,26,51,60,40,58,11,15,3,-10,Vocal(Hindi),
320,Garaj Garaj Jugalbandi,Shankar-Ehsaan-Loy,10B,150,5:31,48,78,27,38,5,0,9,5,-5,Vocal(Hindi),
321,Kautilya (The Echo Project),Rishab Rikhiram Sharma,7A,138,3:11,58,76,44,48,5,4,7,9,-6,Instrumental,
322,Junkeri,Bipul Chettri,12B,166,4:04,48,20,44,24,91,0,27,3,-15,Vocal(Nepali),
323,Phool Oonko Sweater,Sujan Chapagain,9B,139,5:02,47,28,36,34,86,0,15,3,-12,Vocal(Nepali),
324,Bistarai,Rohit John Chettri,12B,140,3:49,47,48,62,35,43,0,11,3,-8,Vocal(Nepali),
325,Laijaw Malai,Tribal Rain,12B,130,3:37,46,17,76,54,94,26,11,5,-16,Vocal(Nepali),
326,"Hataarindai, Bataasindai",Sajjan Raj Vaidya,11B,93,5:30,47,29,33,31,86,0,10,3,-10,Vocal(Nepali),
327,Ram Sailee - Ode To My Father,Bipul Chettri,4B,135,3:20,47,22,39,32,95,0,38,3,-16,Vocal(Nepali),
328,Saajha Ma Aunu (Maya ko Chino),Neetesh Jung Kunwar,3B,170,4:13,36,38,53,71,71,0,17,3,-10,Vocal(Nepali),
329,Aashish,Bipul Chettri,9B,140,5:28,48,41,34,45,79,2,9,3,-11,Vocal(Nepali),
330,Chitthi Bhitra,Sajjan Raj Vaidya,1B,164,5:03,54,24,54,55,87,5,11,4,-16,Vocal(Nepali),
331,Katai Uslai,Bipul Chettri,12B,121,4:47,33,41,36,21,87,0,10,3,-10,Vocal(Nepali),
332,Siriri,Bipul Chettri,4B,130,4:33,40,48,49,27,64,13,11,3,-11,Vocal(Nepali),
333,The Woolen Sweater [Oon ko Sweater],Sujan Chapagain,9B,140,2:27,47,22,30,13,74,1,17,3,-16,Vocal(Nepali),
334,Teenpatey,ArtMandu,4B,60,1:00,18,29,46,71,94,0,10,4,-6,Vocal(Nepali),
335,Lukaamaari,Sajjan Raj Vaidya,3B,89,5:01,43,24,34,31,56,0,19,3,-13,Vocal(Nepali),
336,Samaya,Bipul Chettri,9B,131,3:48,30,23,65,14,93,55,7,3,-13,Vocal(Nepali),
337,Nau Lakhey Tara,Bipul Chettri,5B,98,5:13,37,25,56,19,87,0,12,3,-16,Vocal(Nepali),
338,Behos,Sushant KC,2B,72,3:39,46,27,42,34,83,0,13,4,-14,Vocal(Nepali),
339,Deorali Darah,Bipul Chettri,9B,95,3:22,43,53,56,50,65,14,19,3,-14,Vocal(Nepali),
340,Sathi,Sushant KC,1B,174,3:41,54,30,44,40,86,0,10,4,-13,Vocal(Nepali),
341,Wildfire (Dadhelo),Bipul Chettri,1B,130,3:31,40,51,60,35,78,14,12,3,-14,Vocal(Nepali),
342,Preminche Premava,Shreya Ghoshal,3B,141,5:54,59,74,67,57,36,0,18,4,-8,Vocal(Telugu),
343,Yeto Vellipoyindi,Rajesh Krishnan,8B,98,4:37,55,56,66,55,56,0,10,10,-13,Vocal(Telugu),
344,Kannullo Nee Roopame,Hariharan,2B,90,5:21,58,37,65,56,69,0,12,5,-12,Vocal(Telugu),
345,Prema Prema,A.R.Rehman ,11A,93,5:40,59,58,66,37,4,0,31,8,-10,Vocal(Telugu),
346,Aakasa Ganga,Karthik ,7B,130,5:06,49,45,54,28,66,0,15,3,-10,Vocal(Telugu),
347,Nee Sneham,R. P. Patnaik,6B,100,2:58,53,41,56,44,47,0,13,2,-10,Vocal(Telugu),
348,Thalachithalachi(Female),Shreya Ghoshal,10B,132,4:36,49,35,69,33,62,0,37,4,-9,Vocal(Telugu),
349,Feel My Love,KK,6A,100,4:59,64,70,75,54,1,0,17,4,-8,Vocal(Telugu),
350,Kariga Loga - D-Plugged,Devi shri prasad,5A,92,2:55,51,47,62,36,35,0,16,5,-8,Vocal(Telugu),
351,Mellaga,S.P. Charan,3B,80,5:20,66,83,78,64,15,0,27,13,-8,Vocal(Telugu),
352,Gundello Emundho,Venu Srirangam,12A,94,4:20,62,59,80,84,23,0,33,10,-12,Vocal(Telugu),
353,Edhuta Nilichindhi,Karthik,10A,120,4:47,56,57,67,44,24,0,60,3,-9,Vocal(Telugu),
354,Oka Maaru,Karthik,5A,112,5:52,59,68,79,86,16,0,26,3,-7,Vocal(Telugu),
355,Attu Nuvve,Neha Bhasin,7A,164,5:02,62,66,66,58,60,0,9,9,-5,Vocal(Telugu),
356,Naalo Nenena,Mani Shrama,10B,184,5:51,49,55,33,23,62,0,18,3,-7,Vocal(Telugu),
357,Yedhi Yedhi,Ilaiyaraaja,10A,100,6:07,46,36,43,29,79,1,20,3,-10,Vocal(Telugu),
358,Naalo Nenena,Mani Shrama,10B,184,5:51,49,55,33,23,62,0,18,3,-7,Vocal(Telugu),
359,Nidhare Kala,Harris Jayaraj,9A,116,5:22,51,49,75,57,80,0,24,3,-8,Vocal(Telugu),
360,Adiga Adiga,Sid Sriram,6B,130,3:29,40,24,55,14,90,0,10,3,-13,Vocal(Telugu),
361,Gundelothulalo,Dhee,4A,107,3:09,38,24,64,8,95,0,14,3,-8,Vocal(Telugu),
362,Cheliya Cheliya,Shaan,3A,103,4:14,56,79,86,42,8,0,7,16,-8,Vocal(Telugu),
363,Vennela,A.R. Rahman,10B,100,6:33,40,17,51,8,84,0,11,3,-15,Vocal(Telugu),
364,Neeru Neeru,Shankar Mahadevan,10B,135,3:37,24,48,46,19,71,0,11,3,-6,Vocal(Telugu),
365,Srilu Pongina,Mickey J. Meyer,7B,110,3:18,32,30,55,17,93,1,13,3,-16,Vocal(Telugu),
366,A Love for Life,G. V. Prakash,6B,144,3:13,49,19,46,21,78,73,10,3,-14,Vocal(Telugu),
367,You Are My Sunshine,Nursery Rhymes 123,8B,100,2:16,64,17,50,38,95,0,12,3,-15,Vocal(English),
368,Rock A Bye Baby,Nursery Rhymes 123,7B,90,1:24,65,8,63,30,99,0,8,3,-18,Vocal(English),
369,Girls And Boys Come Out To Play,Nursery Rhymes 123,8B,110,1:52,55,15,76,13,99,0,11,4,-19,Vocal(English),
370,Beautiful Dreamer,Nursery Rhymes 123,4B,115,3:15,56,5,45,37,99,0,11,4,-20,Vocal(English),
371,Row Row Row Your Boat,Nursery Rhymes 123,6B,120,2:10,56,14,51,20,93,0,11,3,-18,Vocal(English),
372,Lavender's Blue,Nursery Rhymes 123,10B,105,2:04,62,23,67,36,94,0,10,3,-14,Vocal(English),
373,Hush Little Baby,Nursery Rhymes 123,7B,126,2:33,66,14,39,28,94,0,11,4,-14,Vocal(English),
374,Sleep Tight,Nursery Rhymes 123,8B,166,3:38,59,10,26,15,88,0,11,4,-18,Vocal(English),
375,Are You Sleeping? / Frere Jacques,Nursery Rhymes 123,6B,69,2:03,57,5,27,40,97,0,14,4,-17,Vocal(English),
376,Brahms' Lullaby (Cradle Song),Nursery Rhymes 123,6B,129,2:25,48,8,34,18,98,0,11,3,-17,Vocal(English),
377,Somewhere over the rainbow,Nursery Rhymes 123,11B,112,2:55,53,16,24,19,89,2,8,4,-16,Vocal(English),
378,Little Bo Peep,Nursery Rhymes 123,8B,100,1:37,42,24,81,44,88,0,12,3,-12,Vocal(English),
379,Hush My Darling,Nursery Rhymes 123,7B,135,2:51,52,19,53,35,95,4,11,3,-16,Vocal(English),
380,Wild Mountain Thyme,Nursery Rhymes 123,10B,95,2:42,45,9,40,29,96,0,13,3,-15,Vocal(English),
381,Danny Boy,Nursery Rhymes 123,11B,98,2:45,41,18,36,31,91,0,16,3,-15,Vocal(English),
382,Skye Boat Song,Nursery Rhymes 123,3B,105,2:27,46,9,49,28,95,0,11,4,-17,Vocal(English),
383,Too-Ra-Loo-Ra-Loo-Ral (Irish Lullaby),Nursery Rhymes 123,6B,36,2:39,42,27,10,14,96,43,10,4,-15,Vocal(English),
384,German Cradle Song,Nursery Rhymes 123,10B,105,1:44,47,4,50,39,98,0,11,3,-17,Vocal(English),
385,Golden Slumbers,Nursery Rhymes 123,12B,100,1:23,41,5,35,16,99,0,13,5,-19,Vocal(English),
386,Sri Chakradhari,K. S. Chithra,8A,98,4:45,11,38,68,47,71,0,11,3,-11,Vocal(Kannada),
387,Aa Devaru Kattida Gudiyalli,"K. S. Chithra, Hamsalekha",5A,93,4:39,20,35,66,40,75,0,8,3,-11,Vocal(Kannada),
388,Tusu Mella Beeso-Female Vocals,"K. S. Chithra, Hamsalekha",7B,184,4:52,37,39,49,42,52,27,20,3,-15,Vocal(Kannada),
389,Amma Amma,"M. M. Keeravaani, K. S. Chithra",4A,79,4:08,9,33,40,69,67,0,13,4,-13,Vocal(Kannada),
390,Chandana Kampa Laali - Female Vocals,K. S. Chithra,4A,169,5:19,29,49,43,62,23,0,14,6,-11,Vocal(Kannada),
391,Manase O Manase,"Badri Prasad, K. S. Chithra",4A,101,5:08,39,64,46,77,58,0,24,6,-6,Vocal(Kannada),
392,Sneha Deepavali,"L.N. Shastri, Hemanth, K. S. Chithra",5A,93,4:58,0,54,74,67,61,0,11,4,-8,Vocal(Kannada),
393,Atthittha Nodadhiru,Apoorva Sridhar,8A,142,6:28,27,42,70,70,70,0,7,3,-6,Vocal(Kannada),
394,Mugulu Nage,"V. Harikrishna, Yogaraj Bhat, Sonu Nigam",10B,112,4:17,45,43,56,14,86,0,12,3,-9,Vocal(Kannada),
395,Bisilu Kudureyondu,"Rajesh Krishnan, Yogaraj Bhat",10A,69,3:23,56,43,66,62,13,0,12,6,-10,Vocal(Kannada),
396,Sadha Ninna Kannali,"V. Harikrishna, Shreya Ghoshal, Jayanth Kaikini, Sonu Nigam",1B,121,4:38,49,57,74,67,59,0,15,5,-7,Vocal(Kannada),
397,Ninna Danigaagi (Version 1),"Karthik, Yazin Nizar, Hamsika Iyer",5A,144,4:13,54,42,62,42,67,0,19,4,-7,Vocal(Kannada),
398,Kanna Haniyondu,"Raghu Dixit, Raghavendra V Kamath",3B,140,5:29,51,21,36,27,86,0,28,3,-13,Vocal(Kannada),
399,"Baanali Badalgo (From ""Simple Aag Ond Love Story"" )",Sonu Nigam,8A,125,4:58,25,84,74,39,3,0,19,3,-5,Vocal(Kannada),
400,Roopasi,"V. Harikrishna, Jayanth Kaikini, Sonu Nigam",4B,111,4:16,44,52,63,38,84,0,36,3,-8,Vocal(Kannada),
401,Kaagadada Doniyalli,Vasuki Vaibhav,4A,121,3:28,29,68,68,51,34,0,12,3,-5,Vocal(Kannada),
402,"Ninadene Januma (From ""Love Mocktail 2"")",Nakul Abhyankar,8B,137,4:46,53,36,27,29,65,0,16,3,-9,Vocal(Kannada),
403,Mungaru Maleye,Sonu Nigam,9B,130,4:50,59,51,54,32,61,0,29,3,-8,Vocal(Kannada),
404,Maley Maley,"Raghu Dixit, Vasuki Vaibhav",8B,122,4:51,7,28,60,19,72,0,9,3,-11,Vocal(Kannada),
405,Gamanisu,"Sonu Nigam, Jayanth Kaikini",12B,120,4:47,50,40,36,25,74,0,10,3,-7,Vocal(Kannada),
406,Paravashanadenu,Sonu Nigam,12A,84,3:56,61,30,64,40,72,0,13,4,-14,Vocal(Kannada),
407,Jo Jo Laali,Akansha Badami,9A,115,1:11,10,49,34,47,35,0,24,3,-5,Vocal(Kannada),
408,Chawl Raastaye,Shreya Ghoshal,12B,153,4:18,46,29,43,40,94,0,11,4,-9,Vocal(Bengali),
409,Benche Thakar Gaan,"Rupam Islam, Anupam Roy",11B,116,4:13,52,76,73,87,44,0,10,3,-6,Vocal(Bengali),
410,Amar Mawte(Male),"Rupankar, Anupam Roy",8B,105,3:45,37,41,75,54,84,0,14,3,-11,Vocal(Bengali),
411,Ei To Ami Chai,"Shreya Ghoshal, Anupam Roy",10B,110,4:31,38,45,61,26,75,0,10,3,-8,Vocal(Bengali),
412,Ekhon Onek Raat,Anupam Roy,11B,97,3:46,54,56,73,62,71,0,10,6,-10,Vocal(Bengali),
413,Amar Mawte(Female),"Anupam Roy, Lopamudra Mitra",6B,105,5:30,42,34,74,68,80,0,10,3,-10,Vocal(Bengali),
414,Sudhu Tomari Jonyo,"Arijit Singh, Shreya Ghoshal",10B,144,3:29,50,60,46,47,34,0,5,3,-5,Vocal(Bengali),
415,Jeno Tomari Kache,"Ash King, Somlata",1B,104,4:37,49,72,56,52,11,0,12,3,-7,Vocal(Bengali),
416,Egiye De,"Arijit Singh, Madhubanti Bagchi",10B,90,4:13,55,58,49,35,36,0,13,3,-7,Vocal(Bengali),
417,Jani Na,"Nachiketa Chakraborty, Jeet Gannguli",11B,108,5:19,49,51,57,27,72,0,6,3,-9,Vocal(Bengali),
418,Majhe Majhe Tobo,Arindom,12A,130,4:22,53,49,52,25,69,0,9,3,-8,Vocal(Bengali),
419,Abar Phire Ele,Arijit Singh,11B,156,5:08,51,53,45,17,61,0,41,4,-8,Vocal(Bengali),
420,Majhe Majhe Tobo Dekha Pai,Borno Chakroborty,10A,69,5:53,41,36,61,58,81,0,17,3,-10,Vocal(Bengali),
421,Boba Tunnel,Anupam Roy,11B,132,4:08,54,54,60,40,28,0,13,3,-8,Vocal(Bengali),
422,Je Kawta Din (Reprise),"Anupam Row, Iman Chakraborty",9B,106,5:26,44,19,49,26,94,0,10,3,-11,Vocal(Bengali),
423,Preme Pora Baron,Lagnajita Chakraborty,1B,112,3:56,48,32,59,40,77,0,13,3,-6,Vocal(Bengali),
424,Tomake Chai Title Track,Arijit Singh,9B,140,4:52,49,75,53,39,60,0,13,4,-5,Vocal(Bengali),
425,Kichhu Kichhu Kotha,Arijit Singh,10B,116,4:32,49,47,61,44,89,0,10,3,-7,Vocal(Bengali),
426,Bolo Na Radhika,Monali Thakur,11B,90,4:32,46,40,58,51,87,0,10,3,-8,Vocal(Bengali),
427,Asatoma Sadgamaya,Arijit Singh,8B,129,5:16,46,46,29,45,78,0,22,3,-9,Vocal(Bengali),
428,Phagun Haway Haway,Arnob,10B,132,3:02,39,20,63,43,83,0,16,4,-12,Vocal(Bengali),
429,Tomake Male,Arko,3B,120,2:56,37,20,73,55,85,0,13,4,-10,Vocal(Bengali),
430,,,,,,,,,,,,,,,,
